Using device: cuda
Episode: 357/10000, time: 153, truncated: False, cumulative reward: -120.72105257721545
Episode: 368/10000, time: 152, truncated: False, cumulative reward: -152.47233622613297
Episode: 369/10000, time: 209, truncated: False, cumulative reward: -172.92842378563483
Episode: 380/10000, time: 246, truncated: False, cumulative reward: -122.17533621223853
Episode: 383/10000, time: 178, truncated: False, cumulative reward: -174.1944140265357
Episode: 384/10000, time: 97, truncated: False, cumulative reward: -117.9649663417823
Episode: 391/10000, time: 123, truncated: False, cumulative reward: -157.21041675630659
模型状态字典已保存至 c:\Users\isrya\#MyFiles\#MyCode\GithubUoL\COMP532\AS02\models\model_0.pth
Episode: 411/10000, time: 290, truncated: False, cumulative reward: -165.42551927841595
Episode: 415/10000, time: 180, truncated: False, cumulative reward: -155.28455178264272
Episode: 417/10000, time: 167, truncated: False, cumulative reward: -156.20089171519516
Episode: 421/10000, time: 193, truncated: False, cumulative reward: -206.39508671887904
Episode: 428/10000, time: 168, truncated: False, cumulative reward: -144.78711704645445
Episode: 433/10000, time: 106, truncated: False, cumulative reward: -131.80613927727188
Episode: 434/10000, time: 186, truncated: False, cumulative reward: -120.23274441420966
Episode: 435/10000, time: 110, truncated: False, cumulative reward: -69.9141323707848
Episode: 442/10000, time: 156, truncated: False, cumulative reward: -47.23404156370134
Episode: 454/10000, time: 113, truncated: False, cumulative reward: 35.50556776019613
Episode: 458/10000, time: 137, truncated: False, cumulative reward: -87.12076249096243
Episode: 466/10000, time: 269, truncated: False, cumulative reward: -64.23928940849204
Episode: 475/10000, time: 110, truncated: False, cumulative reward: -156.2473846553076
Episode: 478/10000, time: 136, truncated: False, cumulative reward: -134.03193166926488
Episode: 479/10000, time: 147, truncated: False, cumulative reward: -113.26794284247748
Episode: 482/10000, time: 105, truncated: False, cumulative reward: -195.79143291700737
Episode: 495/10000, time: 139, truncated: False, cumulative reward: -196.8387992278672
Episode: 499/10000, time: 180, truncated: False, cumulative reward: -165.3920920818327
模型状态字典已保存至 c:\Users\isrya\#MyFiles\#MyCode\GithubUoL\COMP532\AS02\models\model_0.pth
