Episode,Reward,Loss,Done
1,-165.20899792032424,0,True
2,-71.62514411339197,108.8515396118164,True
3,-120.81385276690524,33.98651123046875,True
4,-111.39476185603228,80.45219421386719,True
5,-124.66017007625707,44.78572082519531,True
6,-93.90587766886476,6.569823265075684,True
7,-243.1424744103553,23.33671760559082,True
8,-223.80866800758733,106.27169799804688,True
9,-108.54480039832006,21.295366287231445,True
10,-194.61007068373547,7.077383041381836,True
11,-230.64296916196898,7.707932949066162,True
12,-120.62141737615272,8.35288143157959,True
13,-118.01833949179282,2.1924636363983154,True
14,-131.31836884552246,25.12692642211914,True
15,-129.06534669440515,136.87783813476562,True
16,-69.24671135366596,34.105892181396484,True
17,-437.55383742740884,47.31770324707031,True
18,-261.7458421562666,71.12681579589844,True
19,-89.0913335771866,5.28872013092041,True
20,-120.18881190067916,32.14455032348633,True
21,-373.65429091020485,153.54595947265625,True
22,-496.32293639611305,26.048812866210938,True
23,-114.69457475679735,3.7318737506866455,True
24,-130.05203284629235,28.649505615234375,True
25,-56.87755094781511,17.226085662841797,True
26,-99.07041093824137,35.60528564453125,True
27,-261.18048103916294,15.432698249816895,True
28,-347.24969335551475,32.992244720458984,True
29,-146.79340828372045,9.28559684753418,True
30,-196.19786420775492,7.306929588317871,True
31,-342.40353415788275,59.42495346069336,True
32,-112.15156721268627,16.40308952331543,True
33,-184.3943398608908,95.42991638183594,True
34,-44.67673473893403,30.55263328552246,True
35,-126.15244255153269,108.03656005859375,True
36,-357.48708111861714,9.80423355102539,True
37,-127.10240282348687,44.846195220947266,True
38,-69.68714585842005,20.328338623046875,True
39,-72.1034491316687,27.209360122680664,True
40,-125.63703619249458,1.8421189785003662,True
41,-2.0655591092283885,38.360965728759766,True
42,-61.99836542949436,2.2828266620635986,True
43,-7.806675373699605,45.38839340209961,True
44,-94.10419721529342,20.147960662841797,True
45,-90.56806265151583,9.004770278930664,True
46,-81.05519589125309,142.96627807617188,True
47,-152.5588911695824,135.671875,True
48,-84.84636987148515,155.96368408203125,True
49,-215.8117741695915,4.491361141204834,True
50,-22.74813126387427,21.61530876159668,True
51,-100.99233768738577,3.715542793273926,True
52,-125.24102581192011,51.65281677246094,True
