Episode,Reward,Loss,Average_loss,Ema_loss,Q_Targets,Q_Expected,Done
1,-96.47063181998715,0,0,0,0,0,True
2,-92.65632099442972,4.507938861846924,66.77622359449214,1.4514278641543512,0.2849632203578949,-0.12984812259674072,True
3,-131.15012361054823,1.220360517501831,84.22401266892751,3.7100167358273155,-0.3975013196468353,-0.3790498673915863,True
4,-75.39058251714286,131.84060668945312,92.34388612769544,5.740360011111557,-0.41133448481559753,-0.5206801295280457,True
5,-64.24553717614543,226.92474365234375,101.06373138067335,8.368322478018326,-1.5456042289733887,-0.5786121487617493,True
6,-293.5047692782192,198.57757568359375,107.28025984657663,11.432491353092663,-2.3661694526672363,-0.7824609279632568,True
7,-111.70826414409099,190.75787353515625,106.13898161075097,13.824372412372146,-2.5473005771636963,-1.0681991577148438,True
8,-286.607690637072,195.94699096679688,109.04834952895627,16.48156034852343,-2.594376802444458,-1.0884331464767456,True
9,-196.03851920161128,98.17719268798828,105.73538260526128,17.451622439237735,-1.4092984199523926,-0.9915911555290222,True
10,-9.238469877323737,299.5829162597656,101.23844731962959,19.530738647969528,-2.8256285190582275,-1.2936517000198364,True
11,-72.32583264755883,177.61805725097656,102.08262997410863,22.46718370118337,-2.738483190536499,-1.154814600944519,True
12,-116.34765181875649,161.88084411621094,103.08299383643862,24.15271664631728,-2.4243698120117188,-1.4545345306396484,True
13,-282.05332087649253,72.1431884765625,102.8674628915819,26.346594421531282,-1.3687920570373535,-1.5667648315429688,True
14,-84.62243220170481,9.495261192321777,102.55422933357372,27.83947551098062,-0.28101062774658203,-1.2264453172683716,True
15,-266.6933258384713,95.84978485107422,100.87500410848821,28.83063462073611,0.253169983625412,-0.887604832649231,True
16,-184.68384101021206,308.1448059082031,100.81869264443715,30.169759147541885,-3.5607991218566895,-1.4569218158721924,True
17,-474.6292499461165,96.46498107910156,101.40114085498145,31.925815316159667,0.41799893975257874,-0.7947298884391785,True
18,-118.14972541381167,103.79185485839844,99.79288023900634,33.197924234247914,-1.48577082157135,-1.702892541885376,True
19,-198.77150408077233,171.7067413330078,99.17642615831227,34.846490512505184,-3.0302844047546387,-1.5858991146087646,True
20,-247.4955067917152,71.36310577392578,99.56241460873451,36.67588517936353,-2.19645619392395,-2.4571776390075684,True
21,-166.12515481580533,162.82711791992188,97.90087618007811,38.38321654502139,-2.8819117546081543,-1.4221432209014893,True
22,-323.31936743019753,121.10640716552734,96.62819968188218,40.59772936198495,-2.793137550354004,-1.8905348777770996,True
23,-353.31323566103646,78.32464599609375,95.83867134072193,41.850974675041535,-1.5418251752853394,-1.3770966529846191,True
24,-204.77200767816146,16.03459930419922,95.69168534046545,43.98559464470005,-0.862885057926178,-2.296842336654663,True
25,-288.9315034550759,91.25196075439453,94.8851374358352,44.64497955667417,-2.3655588626861572,-1.6168066263198853,True
26,-93.08950792645402,46.17979049682617,93.06149825802324,45.151472413995194,-0.8408332467079163,-1.773247241973877,True
27,-260.7362870855367,72.1674575805664,92.5220653901791,46.05139843519939,-2.4875142574310303,-2.0198073387145996,True
28,-129.39606510565838,63.4229850769043,91.1969168245313,46.67455006758401,-1.8317171335220337,-2.459247350692749,True
29,-62.600060874122384,52.54975128173828,90.98794781510635,47.52631908486883,-2.852245807647705,-2.982592821121216,True
30,-339.196305059002,65.04914093017578,89.65346853459224,47.84291266220426,-1.8235869407653809,-1.6963311433792114,True
31,-163.4315240049669,55.46742248535156,88.98124491862389,48.00291748341474,-2.0825493335723877,-2.1513524055480957,True
32,-150.56972837305256,18.998088836669922,88.74145936615739,49.126623200896596,-0.8372437953948975,-1.5323431491851807,True
33,-132.94133723856396,43.1688232421875,88.5604816211973,49.907543010257605,-1.0409806966781616,-2.302854299545288,True
34,-76.26804368340905,16.32573890686035,88.1463955024966,50.64032982010279,-0.45181265473365784,-1.4043420553207397,True
35,-353.2774994326397,105.50794982910156,87.52948246527744,51.037508754192956,-1.4230248928070068,-1.366235613822937,True
36,-233.78990105150336,9.531451225280762,86.87378064154079,51.28392410461658,-1.0414302349090576,-1.757436752319336,True
37,-186.66539374789022,181.81190490722656,85.99954424261564,51.630546019901516,-1.0160976648330688,-1.5002121925354004,True
38,-63.10500564890084,53.77576446533203,85.85807238899308,52.94526952078987,-0.5745135545730591,-1.6118662357330322,True
39,-188.51245129139656,33.359405517578125,85.4058861550389,53.221454643194406,-0.8594653010368347,-1.6125261783599854,True
40,-158.19143320573892,4.190405368804932,85.10680884652668,53.73026621001875,-1.905477523803711,-2.3917431831359863,True
41,-238.86693295438263,47.28004455566406,84.76339353803057,54.12849882230885,-0.29226309061050415,-2.0555970668792725,True
42,-214.85807500697038,87.94580078125,84.39146972662931,54.81761860984799,-3.353760004043579,-2.3461575508117676,True
43,-153.93152580575622,30.14634132385254,84.1323869340632,55.274415840059554,-2.083644151687622,-2.2138917446136475,True
44,-393.2076274103837,176.8802947998047,84.07205580488893,56.00201310546108,-3.194669723510742,-2.5308516025543213,True
45,-305.85284606322193,67.95072937011719,84.26028503477573,57.22689811668955,-2.3902676105499268,-2.2110648155212402,True
46,-267.6808206637909,158.1481170654297,83.66030094036891,57.54226861420002,-1.2498053312301636,-1.941109538078308,True
47,-219.5682823795736,13.202387809753418,82.7662561655407,57.50399988073831,-0.8960452675819397,-1.4656598567962646,True
48,-141.25657979329912,198.57131958007812,82.03224681781617,57.5998121261638,-4.971248149871826,-3.7452337741851807,True
49,-180.4551886649233,67.55516815185547,81.74080560477792,58.018532865590416,-2.944767951965332,-2.8039262294769287,True
